wave_length,chlorophyll_a,chlorophyll_b,beta_carotene
300,17585,36334,31887
301,17746,28789,28383
302,17921,28983,23951
303,18230,29194,22136
304,18037,29369,21911
305,17898,29545,19150
306,19027,29689,20245
307,19211,29760,16808
308,19247,29821,17605
309,19151,29770,16218
310,19448,29677,19488
311,20087,29598,12223
312,20229,29388,15633
313,20289,29115,15457
314,20458,28886,14421
315,20774,28629,13471
316,21325,28386,17722
317,20683,28215,13444
318,21443,28092,14142
319,21159,28056,15398
320,20719,28111,15561
321,20623,28247,11989
322,20571,28499,12133
323,21028,28764,14687
324,20767,29128,12457
325,20423,29536,13309
326,21204,29939,12120
327,20485,30389,11822
328,20497,30771,12624
329,19660,31065,13106
330,19952,31294,14421
331,19712,31411,13691
332,19457,31487,14903
333,19858,31475,14660
334,19972,31440,13655
335,19737,31311,14272
336,19792,31146,13565
337,20016,30964,13975
338,19879,30757,12939
339,19609,30507,16245
340,19788,30215,13791
341,19864,29915,15889
342,20312,29586,13854
343,20431,29202,15475
344,20194,28792,14056
345,20822,28410,13953
346,21160,27930,14944
347,21729,27522,15281
348,21787,27143,15565
349,22780,26832,14002
350,22942,26563,15786
351,23657,26339,15020
352,24150,26191,16236
353,23931,26077,15254
354,25319,26042,13822
355,25709,25962,16583
356,26062,25920,15380
357,27068,25840,17934
358,27828,25783,15781
359,28334,25642,15664
360,29121,25342,15412
361,29660,24913,17907
362,30685,24414,16673
363,31303,23886,17646
364,32139,23453,16786
365,33467,23281,17686
366,33981,23286,19529
367,34644,23099,19776
368,35574,22822,18574
369,36503,22437,20028
370,37075,22153,21609
371,37709,21855,21555
372,38688,21598,23641
373,38988,21490,25019
374,39844,21330,25361
375,40550,21231,26555
376,41269,21114,26451
377,41776,20963,27451
378,42151,20687,28577
379,43604,20242,29928
380,44338,19822,29757
381,44940,19245,32432
382,45822,18562,31068
383,46769,17758,31968
384,48197,16924,34923
385,49328,16043,35004
386,50688,15221,35626
387,52296,14484,37833
388,54796,13812,38454
389,56507,13319,40003
390,58651,12947,41850
391,60792,12660,43976
392,63313,12542,45904
393,65459,12509,46849
394,68156,12671,50925
395,69779,12860,50151
396,71287,13167,51624
397,72727,13546,55420
398,74188,13899,56407
399,75184,14267,59213
400,75612,14676,58312
401,76400,15115,61185
402,77603,15452,62302
403,78597,15765,62919
404,79430,16163,63627
405,81178,16479,66126
406,82318,16865,66631
407,84311,17382,68117
408,86913,17918,68189
409,89837,18616,70135
410,92894,19507,73202
411,96554,20512,75463
412,99818,21799,76634
413,102794,23352,78692
414,105342,25144,80426
415,108519,27244,82223
416,110236,29668,86389
417,110856,32328,88259
418,110933,35254,91672
419,110466,38325,94789
420,107236,41559,97374
421,104360,44667,99496
422,99829,47522,100442
423,94412,49952,103176
424,88638,52112,103338
425,82013,53870,105923
426,74992,55180,106094
427,68132,56021,105774
428,60767,56518,106824
429,53623,56702,107216
430,47221,56572,106824
431,41267,56358,107571
432,35707,56072,109040
433,31136,55696,109801
434,26830,55601,110003
435,22958,55941,111436
436,19753,56650,113197
437,17175,58078,114129
438,15126,60342,116147
439,13722,63471,117944
440,12069,67693,120966
441,11033,73210,123367
442,9946,79374,126781
443,9012,86748,127835
444,8475,95091,130510
445,7909,104228,132086
446,7064,113968,135095
447,6572,123449,135383
448,5994,132779,136270
449,5469,141291,136698
450,5207,148843,138730
451,4901,154236,139500
452,4591,157923,137401
453,4331,159100,137572
454,4104,158187,135550
455,3871,155008,133122
456,3641,149978,130983
457,3487,143136,129478
458,3481,134862,126808
459,3265,125822,124367
460,3269,116543,121173
461,3077,106810,118336
462,3074,96978,116273
463,3222,86967,113535
464,3287,77317,112332
465,3227,68661,110148
466,3213,60691,110161
467,3260,53141,107995
468,3249,45617,108432
469,3078,39375,107607
470,3176,33586,108427
471,3338,28349,109283
472,3184,23809,109197
473,3355,19963,110148
474,3227,16880,111409
475,3214,14215,112395
476,3353,12042,111765
477,3408,10306,110404
478,3179,8826,112368
479,3495,7650,110711
480,3433,6707,110769
481,3560,5972,108409
482,3356,5430,106765
483,3440,4983,104356
484,3352,4589,100162
485,3509,4184,96757
486,3734,3919,95114
487,3661,4150,89497
488,3655,3927,85047
489,3946,3764,80611
490,4137,3737,76107
491,4311,3707,70999
492,4308,3704,66887
493,4472,3676,62996
494,4651,3663,58560
495,4864,3634,52736
496,5124,3646,49926
497,5194,3689,45332
498,5405,3737,40458
499,5534,3668,36337
500,5772,3720,32662
501,5828,3715,29933
502,5967,3718,26257
503,6052,3727,24686
504,6235,3718,20673
505,6281,3734,19186
506,6209,3717,16867
507,6327,3699,15434
508,6299,3705,13286
509,6175,3737,11259
510,6097,3746,10985
511,6060,3765,9890
512,5802,3725,8039
513,5717,3780,7994
514,5700,3824,7147
515,5801,3889,6539
516,5826,3908,4963
517,5717,3923,4585
518,5728,4016,4350
519,5549,4053,4589
520,5811,4131,3386
521,5795,4223,4305
522,6091,4325,4188
523,6195,4371,2670
524,6233,4524,1621
525,6360,4625,2026
526,6487,4716,1806
527,6738,4836,319
528,6879,5018,1999
529,7142,5197,3026
530,7459,5365,2229
531,7508,5504,1562
532,7656,5689,1810
533,7716,5835,1801
534,8109,6041,540
535,8127,6152,454
536,8064,6366,1184
537,7918,6422,986
538,7859,6537,-405
539,7433,6682,2062
540,7336,6775,2143
541,7098,6848,909
542,6840,6896,1157
543,6648,6978,1229
544,6311,7026,571
545,6119,7078,702
546,5899,7101,963
547,5756,7106,1923
548,5610,7117,1292
549,5696,7130,900
550,5629,7126,1369
551,5519,7124,1675
552,5508,7108,-495
553,5619,7119,621
554,5727,7175,234
555,5852,7201,747
556,5758,7260,13
557,5835,7294,1490
558,5965,7365,459
559,6059,7474,1026
560,6171,7553,-1184
561,6199,7637,801
562,6237,7686,1112
563,6279,7733,-211
564,6253,7775,-481
565,6269,7821,1585
566,6246,7841,1252
567,6171,7838,-198
568,6187,7840,-423
569,6257,7813,193
570,6054,7790,653
571,6182,7770,1216
572,5859,7750,175
573,5542,7750,472
574,5743,7711,1026
575,5437,7760,972
576,5408,7757,1116
577,5242,7816,1576
578,5142,7912,175
579,5058,8116,684
580,4913,8284,833
581,4995,8543,1189
582,4770,8759,481
583,4777,9102,657
584,4849,9406,319
585,5029,9670,1107
586,5171,10005,1445
587,5192,10269,355
588,5365,10511,1175
589,5757,10758,1490
590,5755,10928,103
591,5944,11100,-193
592,6321,11223,891
593,6573,11237,626
594,6912,11284,558
595,7315,11239,1022
596,7436,11173,1391
597,7765,11004,346
598,8081,10779,36
599,8407,10469,630
600,8506,10223,734
601,8773,9917,81
602,8620,9607,-603
603,8874,9300,635
604,9108,9070,936
605,9029,8872,680
606,8974,8713,1238
607,9090,8676,792
608,9062,8614,-144
609,8932,8588,891
610,8720,8581,1630
611,8696,8579,1130
612,8471,8543,441
613,8252,8482,1693
614,7958,8396,698
615,8003,8294,684
616,7867,8221,-139
617,7498,8134,463
618,7477,8033,1067
619,7225,8046,603
620,6861,8099,1743
621,6876,8269,1026
622,6865,8498,432
623,6641,8880,662
624,6574,9409,869
625,6513,10115,1779
626,6453,10987,346
627,6427,12092,1202
628,6651,13425,1977
629,6726,15014,1914
630,6695,16858,535
631,6690,19057,571
632,7037,21721,1981
633,7034,24723,837
634,7407,28346,738
635,8073,32389,1684
636,8349,36755,1071
637,8919,41277,1688
638,9367,45732,1234
639,9925,49740,1589
640,10991,53160,936
641,11695,55667,720
642,12802,56996,1603
643,14031,57050,585
644,15496,55818,1634
645,16814,53177,346
646,18416,49572,1909
647,19916,45155,1837
648,21270,40327,621
649,22803,35250,1022
650,24413,30267,553
651,25795,25543,297
652,27265,21326,562
653,29075,17654,400
654,30001,14590,1472
655,30695,11576,1094
656,31691,9248,666
657,32093,8660,1594
658,32522,7115,914
659,32625,5874,36
660,32635,5093,454
661,32342,4386,1504
662,31973,3871,-67
663,31642,3459,306
664,30685,3055,1040
665,29915,2724,666
666,28587,2435,544
667,27242,2247,378
668,26030,2065,562
669,24230,1897,-486
670,22450,1748,1409
671,20745,1657,283
672,18560,1548,387
673,16761,1486,-175
674,14453,1417,945
675,12682,1355,234
676,11167,1329,414
677,9519,1266,639
678,8451,1229,-153
679,7366,1163,941
680,6440,1101,472
681,5405,1041,684
682,4754,982,-54
683,4347,932,-135
684,3797,863,72
685,3253,813,513
686,2847,763,675
687,2578,715,-310
688,2531,671,810
689,2246,653,720
690,2043,621,599
691,1977,576,54
692,1769,570,486
693,1482,537,171
694,1513,524,157
695,1252,502,-58
696,1182,501,-171
697,916,495,743
698,1099,482,409
699,1018,459,252
700,865,460,1436
